In,Heb,Eng,TAZ,Centrioid-X,Centrioid-Y
676,רמת השרון,RAMAT HASHARON,2127,187442.7886,668909.4616
677,פתח תקווה,PETAH TIQWA,4005,187815.9327,669083.1784
678,פתח תקווה,PETAH TIQWA,4001,188954.5061,671973.4132
679,הוד השרון,HOD HASHARON,3323,189329.5152,672087.2167
680,הוד השרון,HOD HASHARON,3322,188149.997,671384.6444
681,הוד השרון,HOD HASHARON,3321,187607.9012,670970.2232
682,כפר סבא,KEFAR SAVA,3111,190613.5633,676914.6712
683,כפר סבא,KEFAR SAVA,3101,189982.6123,678035.6455
684,כפר סבא,KEFAR SAVA,3102,190676.712,677474.3862
685,רעננה,RA'ANNANA,3004,189348.1188,678577.8088
689,כפר סבא,KEFAR SAVA,3108,191953.6498,676701.0461
690,כפר סבא,KEFAR SAVA,3103,192085.0779,677312.5457
691,כפר סבא,KEFAR SAVA,3109,191424.6522,677164.5272
693,כפר סבא,KEFAR SAVA,3106,194230.9295,677196.7659
694,כפר סבא,KEFAR SAVA,3123,193708.0588,676286.7088
708,אור יהודה,OR YEHUDA,2602,185421.536,659857.7689
709,אור יהודה,OR YEHUDA,2604,185932.4458,659700.609
710,רמת גן,RAMAT GAN,2455,185543.4007,661564.5269
711,רמת גן,RAMAT GAN,2448,186059.6219,662131.9155
712,אור יהודה,OR YEHUDA,2615,187148.7962,658692.0191
713,אור יהודה,OR YEHUDA,2614,186596.6218,659082.1196
714,אור יהודה,OR YEHUDA,2610,186903.3219,659550.5428
715,אור יהודה,OR YEHUDA,2611,186179.1642,659258.5681
716,אור יהודה,OR YEHUDA,2616,187682.756,659083.8926
717,אור יהודה,OR YEHUDA,2609,187240.212,659369.27
718,אור יהודה,OR YEHUDA,2608,187498.6829,659461.292
719,אור יהודה,OR YEHUDA,2607,187433.4707,659843.7162
720,אור יהודה,OR YEHUDA,2606,187256.0478,659747.4672
721,אור יהודה,OR YEHUDA,2605,186639.4474,659972.8758
722,אור יהודה,OR YEHUDA,2603,186052.0323,660073.8073
723,רמת גן,RAMAT GAN,2457,187192.6603,661120.825
724,קריית אונו,QIRYAT ONO,2508,186737.5348,661897.9557
725,קריית אונו,QIRYAT ONO,2511,187255.2791,660401.8343
727,יהוד,YEHUD,4509,188282.0111,659619.0862
728,קריית אונו,QIRYAT ONO,2510,187489.6773,662044.1637
729,סביון,SAVYION,4401,188545.4711,661623.5752
730,תל אביב -יפו,TEL AVIV - YAFO,1934,181549.3398,661681.3873
731,תל אביב -יפו,TEL AVIV - YAFO,1933,180852.5309,661837.4753
732,תל אביב -יפו,TEL AVIV - YAFO,1925,181514.9835,662093.588
733,תל אביב -יפו,TEL AVIV - YAFO,1927,180877.7492,662486.7614
734,תל אביב -יפו,TEL AVIV - YAFO,1924,181531.5529,662511.0332
735,תל אביב -יפו,TEL AVIV - YAFO,1923,181912.2108,662093.0048
736,תל אביב -יפו,TEL AVIV - YAFO,1921,182165.482,662214.9431
737,תל אביב -יפו,TEL AVIV - YAFO,1916,181464.0159,662786.4069
738,תל אביב -יפו,TEL AVIV - YAFO,1914,180900.1542,662792.4052
739,תל אביב -יפו,TEL AVIV - YAFO,1913,180879.8982,663204.334
740,תל אביב -יפו,TEL AVIV - YAFO,1915,181448.3709,663200.0913
741,תל אביב -יפו,TEL AVIV - YAFO,1908,180847.8839,663528.0376
742,תל אביב -יפו,TEL AVIV - YAFO,1922,182120.4722,662741.399
743,תל אביב -יפו,TEL AVIV - YAFO,1918,181784.2045,662926.8272
744,תל אביב -יפו,TEL AVIV - YAFO,1917,181653.0162,663456.9317
745,תל אביב -יפו,TEL AVIV - YAFO,1919,181993.9657,663060.5657
746,גבעתיים,GIV'ATAYIM,2314,181988.0432,663401.8011
747,גבעתיים,GIV'ATAYIM,2315,182346.7734,663242.2462
748,גבעתיים,GIV'ATAYIM,2313,181609.7184,663799.8589
749,גבעתיים,GIV'ATAYIM,2309,181838.053,663955.5927
750,תל אביב -יפו,TEL AVIV - YAFO,1920,182277.6726,662316.6644
751,רמת גן,RAMAT GAN,2452,182886.231,661915.6981
752,גבעתיים,GIV'ATAYIM,2312,182407.629,663809.7429
753,גבעתיים,GIV'ATAYIM,2317,182765.5299,663306.2671
754,רמת גן,RAMAT GAN,2441,182575.6586,662610.3317
755,רמת גן,RAMAT GAN,2442,183326.2411,662792.6108
756,רמת גן,RAMAT GAN,2451,183243.6295,662452.8
757,כפר סבא,KEFAR SAVA,3124,194135.7668,676436.0048
758,כפר סבא,KEFAR SAVA,3105,195034.0862,677101.8697
759,כפר סבא,KEFAR SAVA,3104,195653.582,676900.0865
790,פתח תקווה,PETAH TIQWA,4063,189648.8925,665228.1719
791,פתח תקווה,PETAH TIQWA,4062,189392.9623,665125.2053
792,פתח תקווה,PETAH TIQWA,4064,189721.1093,664642.7892
793,פתח תקווה,PETAH TIQWA,4061,189345.0711,664557.7315
794,פתח תקווה,PETAH TIQWA,4045,189553.0987,665594.0605
795,פתח תקווה,PETAH TIQWA,4065,190070.2328,664629.9108
796,מעש,MA'AS,4301,189449.5379,663416.5783
797,פתח תקווה,PETAH TIQWA,4043,190033.5089,665536.6569
798,פתח תקווה,PETAH TIQWA,4072,190395.7541,664469.4282
799,פתח תקווה,PETAH TIQWA,4075,190455.6977,663153.5162
800,פתח תקווה,PETAH TIQWA,4021,187509.8463,666938.8357
801,פתח תקווה,PETAH TIQWA,4052,187814.2623,665931.1017
802,פתח תקווה,PETAH TIQWA,4051,188149.136,666028.3814
803,פתח תקווה,PETAH TIQWA,4029,187352.856,666176.5482
804,פתח תקווה,PETAH TIQWA,4028,186789.37,666141.5417
805,פתח תקווה,PETAH TIQWA,4022,187150.8277,667484.1222
806,פתח תקווה,PETAH TIQWA,4056,187686.9135,665119.0596
807,פתח תקווה,PETAH TIQWA,4050,188162.7405,665424.0305
808,פתח תקווה,PETAH TIQWA,4060,188968.6094,665279.7539
809,פתח תקווה,PETAH TIQWA,4058,188143.6524,665240.613
810,פתח תקווה,PETAH TIQWA,4049,188501.0698,665836.7291
811,פתח תקווה,PETAH TIQWA,4030,188482.2889,666273.2542
812,פתח תקווה,PETAH TIQWA,4048,188870.5707,665812.0509
813,פתח תקווה,PETAH TIQWA,4031,188900.678,666129.2356
814,פתח תקווה,PETAH TIQWA,4046,189324.0812,666062.0498
815,פתח תקווה,PETAH TIQWA,4047,189280.3113,665583.7878
816,פתח תקווה,PETAH TIQWA,4007,188042.0144,667829.3444
817,פתח תקווה,PETAH TIQWA,4008,188426.5371,667817.6475
818,פתח תקווה,PETAH TIQWA,4019,189061.8713,666999.078
819,פתח תקווה,PETAH TIQWA,4006,186789.142,668151.5912
820,פתח תקווה,PETAH TIQWA,4032,189037.9516,666386.8834
821,פתח תקווה,PETAH TIQWA,4033,189569.5662,666636.9436
822,פתח תקווה,PETAH TIQWA,4044,189843.6321,665896.8829
823,פתח תקווה,PETAH TIQWA,4034,189733.1114,666231.601
824,פתח תקווה,PETAH TIQWA,4035,190005.769,666368.6464
825,פתח תקווה,PETAH TIQWA,4042,190328.4376,665992.6358
826,יהוד,YEHUD,4508,188756.0816,660010.0896
827,יהוד,YEHUD,4506,189646.8644,659697.6027
828,יהוד,YEHUD,4501,189521.7152,660693.3383
829,מגשימים,MAGSHIMIM,4302,190566.7195,661597.512
830,יהוד,YEHUD,4503,190085.2969,660379.2931
831,יהוד,YEHUD,4505,190276.4209,659572.9355
832,יהוד,YEHUD,4507,189166.4331,659949.6479
833,יהוד,YEHUD,4502,189680.1373,660344.3466
834,יהוד,YEHUD,4504,190955.932,659444.7115
836,בני עטרות,BENE ATAROT,7506,191973.8942,658598.4918
837,גני תקווה,GANNE TIQWA,4204,187761.1974,662741.5953
838,גני תקווה,GANNE TIQWA,4202,188565.3115,663017.5736
839,קריית אונו,QIRYAT ONO,2504,187372.8255,663116.2908
840,גני תקווה,GANNE TIQWA,4203,187753.4335,663129.8484
841,גני תקווה,GANNE TIQWA,4201,188032.4628,663735.7794
842,פתח תקווה,PETAH TIQWA,4073,188528.4733,664388.1499
843,פתח תקווה,PETAH TIQWA,4057,188170.1478,664845.9295
844,פתח תקווה,PETAH TIQWA,4059,188728.6348,664786.677
845,גבעת שמואל,GIV'AT SHEMU'EL,4104,186148.4373,664358.0795
846,גבעת שמואל,GIV'AT SHEMU'EL,4106,185733.794,663958.367
847,קריית אונו,QIRYAT ONO,2502,186268.561,663592.1119
848,בני ברק,BENE BERAQ,2235,185077.7735,665120.1512
849,בני ברק,BENE BERAQ,2236,185300.4427,665045.612
850,בני ברק,BENE BERAQ,2224,185352.5318,665405.3277
851,גבעת שמואל,GIV'AT SHEMU'EL,4102,185762.4189,665250.7517
852,גבעת שמואל,GIV'AT SHEMU'EL,4103,185746.9455,664765.3907
853,בני ברק,BENE BERAQ,2237,185090.1726,664569.533
854,רמת גן,RAMAT GAN,2434,185577.0055,664415.522
855,בני ברק,BENE BERAQ,2223,185383.2022,665880.95
856,גבעת שמואל,GIV'AT SHEMU'EL,4101,186046.8553,665726.7186
857,קריית אונו,QIRYAT ONO,2507,186542.4236,662574.3528
858,קריית אונו,QIRYAT ONO,2503,186392.9857,663116.3173
859,קריית אונו,QIRYAT ONO,2505,187063.1717,662820.5736
860,קריית אונו,QIRYAT ONO,2506,187071.7459,662186.4247
861,קריית אונו,QIRYAT ONO,2501,187290.9377,663770.0296
862,קריית אונו,QIRYAT ONO,2509,187142.4707,661824.7044
863,פתח תקווה,PETAH TIQWA,4074,187114.7431,664634.4338
864,גבעת שמואל,GIV'AT SHEMU'EL,4105,186693.2906,664689.9551
865,פתח תקווה,PETAH TIQWA,4054,186750.4695,665456.7426
866,פתח תקווה,PETAH TIQWA,4053,187301.2098,665618.11
867,פתח תקווה,PETAH TIQWA,4055,187436.0955,665045.9
868,בני ברק,BENE BERAQ,2220,184281.7361,666233.7826
869,בני ברק,BENE BERAQ,2227,184445.9284,665581.2841
870,בני ברק,BENE BERAQ,2228,184101.1517,665639.03
871,בני ברק,BENE BERAQ,2221,184714.5051,666017.6103
872,בני ברק,BENE BERAQ,2216,184652.8163,666419.8037
873,בני ברק,BENE BERAQ,2234,184805.4238,665325.4473
874,בני ברק,BENE BERAQ,2232,184373.6229,665036.9439
875,בני ברק,BENE BERAQ,2226,184858.8709,665633.877
876,בני ברק,BENE BERAQ,2222,185130.2253,666031.7252
877,בני ברק,BENE BERAQ,2214,185261.2052,666380.3715
878,בני ברק,BENE BERAQ,2212,184289.2615,666936.4785
879,בני ברק,BENE BERAQ,2215,184869.5558,666416.9581
880,בני ברק,BENE BERAQ,2213,185037.354,666792.978
881,בני ברק,BENE BERAQ,2207,184656.297,667299.8298
882,בני ברק,BENE BERAQ,2225,185239.4372,665633.4784
883,פתח תקווה,PETAH TIQWA,4024,185911.6889,667175.6626
884,בני ברק,BENE BERAQ,2208,184224.847,667335.4689
885,בני ברק,BENE BERAQ,2203,184693.9525,667850.1689
886,בני ברק,BENE BERAQ,2202,184161.3506,667779.9225
887,תל אביב -יפו,TEL AVIV - YAFO,1216,184638.0691,668262.5458
888,בני ברק,BENE BERAQ,2206,185123.6393,667102.0748
889,תל אביב -יפו,TEL AVIV - YAFO,1219,183293.5179,668070.2913
890,תל אביב -יפו,TEL AVIV - YAFO,1217,184441.0906,668565.6247
891,תל אביב -יפו,TEL AVIV - YAFO,1211,184005.7016,668728.2591
892,תל אביב -יפו,TEL AVIV - YAFO,1213,184737.0418,669108.6475
893,תל אביב -יפו,TEL AVIV - YAFO,1214,185162.4661,668651.3266
894,בני ברק,BENE BERAQ,2201,185406.2482,667944.1256
895,בני ברק,BENE BERAQ,2205,185170.5526,667437.8082
896,בני ברק,BENE BERAQ,2204,185514.1172,667231.3957
897,פתח תקווה,PETAH TIQWA,4025,185969.0419,666352.0701
898,פתח תקווה,PETAH TIQWA,4026,186436.8138,666138.4372
899,פתח תקווה,PETAH TIQWA,4027,186775.1006,666799.1275
900,פתח תקווה,PETAH TIQWA,4023,186389.0587,666995.8896
901,תל אביב -יפו,TEL AVIV - YAFO,1215,185722.2165,668983.6837
902,תל אביב -יפו,TEL AVIV - YAFO,1112,179631.0308,669073.3534
903,תל אביב -יפו,TEL AVIV - YAFO,1121,179321.0913,667710.0347
904,תל אביב -יפו,TEL AVIV - YAFO,1111,180346.3236,669439.8511
905,תל אביב -יפו,TEL AVIV - YAFO,1103,180223.3354,671049.6047
906,תל אביב -יפו,TEL AVIV - YAFO,1113,180760.3096,669280.5779
907,תל אביב -יפו,TEL AVIV - YAFO,1115,181172.777,669190.8573
908,תל אביב -יפו,TEL AVIV - YAFO,1110,181116.6782,669706.3874
909,תל אביב -יפו,TEL AVIV - YAFO,1104,180436.9541,670701.7978
910,תל אביב -יפו,TEL AVIV - YAFO,1105,181151.0956,670099.5946
911,תל אביב -יפו,TEL AVIV - YAFO,1106,181294.6103,670546.5078
912,תל אביב -יפו,TEL AVIV - YAFO,1101,180694.5203,672173.8063
913,תל אביב -יפו,TEL AVIV - YAFO,1102,180950.1802,671618.3682
914,הרצלייה,HERZLIYYA,2045,180950.6018,673173.4231
915,תל אביב -יפו,TEL AVIV - YAFO,1109,181828.6259,669578.3085
916,תל אביב -יפו,TEL AVIV - YAFO,1108,181892.6017,669907.756
946,הרצלייה,HERZLIYYA,2019,183635.3279,675440.1264
947,הרצלייה,HERZLIYYA,2041,183726.6999,674307.9166
948,גליל ים,GELIL YAM,2048,183878.4981,673694.81
949,הרצלייה,HERZLIYYA,2042,183005.7727,673687.4811
950,הרצלייה,HERZLIYYA,2005,181968.8161,677308.8278
951,הרצלייה,HERZLIYYA,2020,182939.4707,675370.3038
952,הרצלייה,HERZLIYYA,2022,182359.9335,675428.5107
953,כפר שמריהו,KEFAR SHEMARYAHU,2002,183292.3425,677042.9785
954,כפר שמריהו,KEFAR SHEMARYAHU,2001,183792.2289,677361.5196
955,הרצלייה,HERZLIYYA,2043,182618.4619,674346.365
956,הרצלייה,HERZLIYYA,2028,183702.3261,674779.6313
957,הרצלייה,HERZLIYYA,2029,184257.5394,674706.9979
958,הרצלייה,HERZLIYYA,2018,184371.7991,675420.2544
959,תל אביב -יפו,TEL AVIV - YAFO,1204,185022.334,669300.0756
960,תל אביב -יפו,TEL AVIV - YAFO,1205,184693.305,669952.9091
961,תל אביב -יפו,TEL AVIV - YAFO,1203,185316.1719,669566.4462
962,תל אביב -יפו,TEL AVIV - YAFO,1212,184056.4138,669306.1641
963,תל אביב -יפו,TEL AVIV - YAFO,1206,183945.0076,669915.6845
964,תל אביב -יפו,TEL AVIV - YAFO,1202,184252.6266,670452.3324
965,רמת השרון,RAMAT HASHARON,2119,184803.8917,670723.6775
966,רמת השרון,RAMAT HASHARON,2126,185789.8245,670105.3557
967,רמת השרון,RAMAT HASHARON,2124,187158.5019,670565.97
968,רמת השרון,RAMAT HASHARON,2112,183677.714,671701.7712
969,רמת השרון,RAMAT HASHARON,2118,183750.192,671195.5127
970,רמת השרון,RAMAT HASHARON,2111,184584.2799,672172.6861
971,רמת השרון,RAMAT HASHARON,2113,183897.6538,672321.9989
972,רמת השרון,RAMAT HASHARON,2103,184177.6772,673081.9696
973,רמת השרון,RAMAT HASHARON,2110,184941.8299,671792.3355
974,רמת השרון,RAMAT HASHARON,2120,185273.8911,671221.9894
975,רמת השרון,RAMAT HASHARON,2109,185145.2978,672233.0978
976,רמת השרון,RAMAT HASHARON,2104,184877.9212,672983.972
977,רמת השרון,RAMAT HASHARON,2106,185631.7987,672357.7732
978,רמת השרון,RAMAT HASHARON,2122,186524.2144,671153.3108
979,רמת השרון,RAMAT HASHARON,2121,186111.6397,670628.8156
980,רמת השרון,RAMAT HASHARON,2125,187009.4386,670649.4477
981,רמת השרון,RAMAT HASHARON,2108,185610.4024,671832.4664
982,רמת השרון,RAMAT HASHARON,2107,185784.449,672277.0297
983,רמת השרון,RAMAT HASHARON,2123,186996.2649,671061.3153
984,הרצלייה,HERZLIYYA,2039,184915.1783,673564.1476
985,הרצלייה,HERZLIYYA,2040,184953.2909,674036.3111
986,רמת השרון,RAMAT HASHARON,2105,185315.6703,672760.0404
987,הרצלייה,HERZLIYYA,2037,185855.2345,673362.163
988,הרצלייה,HERZLIYYA,2038,185681.0006,673847.1208
989,הרצלייה,HERZLIYYA,2030,184604.6957,674794.7906
990,הרצלייה,HERZLIYYA,2031,184948.8291,674638.5863
991,הרצלייה,HERZLIYYA,2032,185141.9369,674421.5795
992,הרצלייה,HERZLIYYA,2033,185803.1418,674409.9403
993,הרצלייה,HERZLIYYA,2016,185127.996,675152.6338
994,הרצלייה,HERZLIYYA,2017,184885.1372,675407.7361
995,הרצלייה,HERZLIYYA,2008,185560.0787,675800.4609
996,הרצלייה,HERZLIYYA,2006,184585.2073,675931.0696
997,הרצלייה,HERZLIYYA,2007,184665.0056,676263.4758
998,הרצלייה,HERZLIYYA,2013,185797.3288,674790.4333
999,הרצלייה,HERZLIYYA,2015,185749.1747,675031.5636
1000,הרצלייה,HERZLIYYA,2010,186412.4007,675826.5927
1001,הרצלייה,HERZLIYYA,2012,185842.2742,675231.7495
1002,הרצלייה,HERZLIYYA,2014,185749.1907,675490.7718
1003,הרצלייה,HERZLIYYA,2036,186507.6567,673151.88
1005,הרצלייה,HERZLIYYA,2009,185625.675,676267.1024
1006,הרצלייה,HERZLIYYA,2024,181227.9024,675111.3487
1007,הרצלייה,HERZLIYYA,2003,182394.4063,678032.399
1009,הרצלייה,HERZLIYYA,2004,184839.4493,676861.9252
1010,רעננה,RA'ANNANA,3011,185417.5397,677019.0997
1011,רעננה,RA'ANNANA,3012,185945.9947,677435.4831
1012,רעננה,RA'ANNANA,3010,186176.9686,678133.6945
1013,רעננה,RA'ANNANA,3002,186252.966,678821.8241
1014,רעננה,RA'ANNANA,3009,187174.8697,678044.9791
1058,רמת גן,RAMAT GAN,2402,182553.6576,666859.6754
1059,רמת גן,RAMAT GAN,2404,183239.9207,666721.7006
1060,רמת גן,RAMAT GAN,2401,183625.9023,667573.6492
1061,רמת גן,RAMAT GAN,2405,182979.4521,666505.9475
1062,בני ברק,BENE BERAQ,2219,183523.8319,666200.722
1063,בני ברק,BENE BERAQ,2210,183543.5301,666726.724
1064,בני ברק,BENE BERAQ,2209,183666.354,667132.0454
1065,רמת גן,RAMAT GAN,2420,183172.9323,665592.6153
1066,בני ברק,BENE BERAQ,2218,183566.7637,666077.7637
1067,רמת גן,RAMAT GAN,2403,183258.8791,666133.0184
1068,רמת גן,RAMAT GAN,2421,183534.1181,665691.1375
1069,בני ברק,BENE BERAQ,2229,183883.3442,665800.3598
1070,בני ברק,BENE BERAQ,2217,183921.1723,666305.7837
1071,בני ברק,BENE BERAQ,2230,184023.3392,665335.2352
1072,רמת גן,RAMAT GAN,2430,183749.927,664583.4572
1073,בני ברק,BENE BERAQ,2211,183960.2484,666736.9061
1074,תל אביב -יפו,TEL AVIV - YAFO,1220,183217.2313,668567.8038
1075,תל אביב -יפו,TEL AVIV - YAFO,1218,183376.9234,668300.4293
1076,רמת גן,RAMAT GAN,2445,184953.3635,663204.7009
1077,רמת גן,RAMAT GAN,2436,184396.8876,663346.7665
1078,רמת גן,RAMAT GAN,2435,184767.7978,663785.736
1079,רמת גן,RAMAT GAN,2446,185224.1577,662658.8685
1080,רמת גן,RAMAT GAN,2449,185522.9822,662353.8061
1081,רמת גן,RAMAT GAN,2447,185885.5877,662626.6174
1082,רמת גן,RAMAT GAN,2431,184126.0579,664327.2061
1083,רמת גן,RAMAT GAN,2433,184544.6465,664028.1305
1084,בני ברק,BENE BERAQ,2240,184995.7044,664220.3223
1085,בני ברק,BENE BERAQ,2239,184572.4189,664555.4353
1086,רמת גן,RAMAT GAN,2432,184145.8649,664647.8359
1087,בני ברק,BENE BERAQ,2233,184598.1035,664997.5829
1088,בני ברק,BENE BERAQ,2238,184891.7195,664853.0887
1089,רמת גן,RAMAT GAN,2429,183658.4597,664026.437
1090,רמת גן,RAMAT GAN,2422,183550.0406,664905.1913
1091,רמת גן,RAMAT GAN,2423,183429.0859,665383.8946
1092,בני ברק,BENE BERAQ,2231,184074.2254,664954.0345
1093,תל אביב -יפו,TEL AVIV - YAFO,1414,180949.3981,665551.8767
1094,רמת גן,RAMAT GAN,2411,181391.0301,665646.1381
1095,רמת גן,RAMAT GAN,2410,181354.2551,665960.9876
1096,גבעתיים,GIV'ATAYIM,2301,181362.9884,665344.9902
1097,רמת גן,RAMAT GAN,2414,182007.8927,665461.9881
1098,רמת גן,RAMAT GAN,2426,181653.3319,665348.7465
1099,גבעתיים,GIV'ATAYIM,2302,181647.1052,664943.0157
1100,רמת גן,RAMAT GAN,2427,181456.3777,665296.0294
1101,רמת גן,RAMAT GAN,2413,181817.723,665747.652
1102,תל אביב -יפו,TEL AVIV - YAFO,1413,181057.915,666162.8158
1103,רמת גן,RAMAT GAN,2412,181607.2189,666024.0289
1104,רמת גן,RAMAT GAN,2409,181616.1854,666404.4668
1105,רמת גן,RAMAT GAN,2415,182054.9948,665973.4709
1106,רמת גן,RAMAT GAN,2408,181980.5181,666309.8588
1107,תל אביב -יפו,TEL AVIV - YAFO,1403,181128.9466,666699.5996
1108,תל אביב -יפו,TEL AVIV - YAFO,1402,181748.157,666989.3773
1109,רמת גן,RAMAT GAN,2416,182355.0876,665473.2481
1110,רמת גן,RAMAT GAN,2425,182730.7041,665381.0662
1111,רמת גן,RAMAT GAN,2417,182552.434,665897.0256
1112,גבעתיים,GIV'ATAYIM,2303,182397.0148,664956.5608
1113,רמת גן,RAMAT GAN,2407,182378.3798,666217.5815
1114,רמת גן,RAMAT GAN,2406,182683.4012,666373.942
1115,תל אביב -יפו,TEL AVIV - YAFO,1117,182172.9857,668236.2384
1116,תל אביב -יפו,TEL AVIV - YAFO,1122,179915.151,667237.5242
1117,רמת גן,RAMAT GAN,2419,182933.5729,665558.5399
1118,רמת גן,RAMAT GAN,2418,182909.6774,665976.7992
1119,גבעתיים,GIV'ATAYIM,2304,182927.9195,665008.8692
1120,תל אביב -יפו,TEL AVIV - YAFO,1107,181929.5302,670401.5361
1121,רמת השרון,RAMAT HASHARON,2116,181546.7019,671063.8782
1122,תל אביב -יפו,TEL AVIV - YAFO,1209,182591.5906,669017.8355
1123,תל אביב -יפו,TEL AVIV - YAFO,1208,182765.0322,669847.35
1124,רמת השרון,RAMAT HASHARON,2117,182758.3014,670884.6646
1125,רמת השרון,RAMAT HASHARON,2115,181793.3078,671609.9966
1126,רמת השרון,RAMAT HASHARON,2102,181949.5835,672357.6141
1127,רמת השרון,RAMAT HASHARON,2114,182675.2674,672033.0387
1128,תל אביב -יפו,TEL AVIV - YAFO,1210,183274.9868,669123.0582
1129,תל אביב -יפו,TEL AVIV - YAFO,1207,183420.7667,669592.8355
1130,תל אביב -יפו,TEL AVIV - YAFO,1201,183534.4077,670638.8156
1131,גליל ים,GELIL YAM,2047,182946.5908,672680.895
1132,הרצלייה,HERZLIYYA,2046,181484.2394,672983.7826
1133,הרצלייה,HERZLIYYA,2025,181694.779,674384.6997
1134,הרצלייה,HERZLIYYA,2044,181825.8193,673738.3601
1135,הרצלייה,HERZLIYYA,2026,182022.3559,674157.476
1136,רמת השרון,RAMAT HASHARON,2101,181984.0705,672763.3894
1137,הרצלייה,HERZLIYYA,2023,181819.6526,675560.8069
1138,הרצלייה,HERZLIYYA,2027,182239.1583,674551.2378
1139,הרצלייה,HERZLIYYA,2021,182423.3959,674891.5613
1140,גבעתיים,GIV'ATAYIM,2316,182643.3705,663028.5915
1141,רמת גן,RAMAT GAN,2440,183045.155,663811.7061
1142,רמת גן,RAMAT GAN,2439,183525.2611,663366.9903
1143,תל אביב -יפו,TEL AVIV - YAFO,1907,181079.9717,663923.3777
1144,תל אביב -יפו,TEL AVIV - YAFO,1905,181379.0786,663559.7502
1145,תל אביב -יפו,TEL AVIV - YAFO,1906,181331.8575,663936.7372
1146,תל אביב -יפו,TEL AVIV - YAFO,1903,181037.2017,664500.7316
1147,גבעתיים,GIV'ATAYIM,2308,181737.4587,664253.4874
1148,תל אביב -יפו,TEL AVIV - YAFO,1901,181173.7556,664983.5959
1149,תל אביב -יפו,TEL AVIV - YAFO,1904,181076.0592,664739.6683
1150,גבעתיים,GIV'ATAYIM,2307,181708.3439,664550.5637
1151,גבעתיים,GIV'ATAYIM,2311,182675.5524,664252.6082
1152,גבעתיים,GIV'ATAYIM,2310,182252.3237,664194.5959
1153,גבעתיים,GIV'ATAYIM,2306,182279.1119,664626.7545
1154,גבעתיים,GIV'ATAYIM,2305,182755.7252,664674.0404
1155,רמת גן,RAMAT GAN,2443,183582.8715,663100.7588
1156,רמת גן,RAMAT GAN,2444,184296.2429,662996.4748
1157,רמת גן,RAMAT GAN,2438,183597.4366,663670.6897
1158,רמת גן,RAMAT GAN,2437,184153.0859,663761.5658
1159,רמת גן,RAMAT GAN,2428,183304.8256,664422.4598
1160,רמת גן,RAMAT GAN,2424,183266.008,664897.9904
1161,תל אביב -יפו,TEL AVIV - YAFO,1516,178483.2619,663930.7159
1162,תל אביב -יפו,TEL AVIV - YAFO,1514,178608.5142,663988.3206
1163,תל אביב -יפו,TEL AVIV - YAFO,1518,178309.7882,663834.3841
1164,תל אביב -יפו,TEL AVIV - YAFO,1504,178490.9043,664398.8726
1165,תל אביב -יפו,TEL AVIV - YAFO,1510,178859.4004,664152.991
1166,תל אביב -יפו,TEL AVIV - YAFO,1503,178374.5938,664754.6403
1167,תל אביב -יפו,TEL AVIV - YAFO,1502,178119.7372,664796.5906
1168,תל אביב -יפו,TEL AVIV - YAFO,1501,178115.309,664403.3839
1169,תל אביב -יפו,TEL AVIV - YAFO,1519,178197.7396,664053.5169
1170,תל אביב -יפו,TEL AVIV - YAFO,1327,178283.8669,665154.1479
1171,תל אביב -יפו,TEL AVIV - YAFO,1325,178463.2279,665100.1568
1172,תל אביב -יפו,TEL AVIV - YAFO,1505,178696.6791,664571.0394
1173,תל אביב -יפו,TEL AVIV - YAFO,1506,179003.6991,664371.4293
1174,תל אביב -יפו,TEL AVIV - YAFO,1328,178893.5887,664794.9214
1175,תל אביב -יפו,TEL AVIV - YAFO,1320,178892.5082,665045.2098
1176,תל אביב -יפו,TEL AVIV - YAFO,1330,179290.9591,664497.708
1177,תל אביב -יפו,TEL AVIV - YAFO,1322,178660.6515,665029.2802
1178,תל אביב -יפו,TEL AVIV - YAFO,1323,178628.5504,665359.203
1179,תל אביב -יפו,TEL AVIV - YAFO,1509,178991.6121,663824.3349
1180,תל אביב -יפו,TEL AVIV - YAFO,1512,178779.2545,663614.1525
1181,תל אביב -יפו,TEL AVIV - YAFO,1513,178678.1242,663774.9419
1182,תל אביב -יפו,TEL AVIV - YAFO,1511,178816.7794,663883.6927
1183,תל אביב -יפו,TEL AVIV - YAFO,1526,178886.6217,663369.5655
1184,תל אביב -יפו,TEL AVIV - YAFO,1508,179076.6468,663750.2509
1185,תל אביב -יפו,TEL AVIV - YAFO,1507,179313.5691,664149.1955
1186,תל אביב -יפו,TEL AVIV - YAFO,1611,179394.4713,663639.7711
1187,תל אביב -יפו,TEL AVIV - YAFO,1527,179024.758,663253.5587
1188,תל אביב -יפו,TEL AVIV - YAFO,1610,179554.6554,663937.2207
1189,תל אביב -יפו,TEL AVIV - YAFO,1603,179728.5531,664315.3488
1190,תל אביב -יפו,TEL AVIV - YAFO,1602,179674.2438,664649.7898
1191,תל אביב -יפו,TEL AVIV - YAFO,1329,179290.2655,664704.9684
1192,תל אביב -יפו,TEL AVIV - YAFO,1317,179145.4774,665075.9208
1193,תל אביב -יפו,TEL AVIV - YAFO,1315,179345.2447,664975.5508
1194,תל אביב -יפו,TEL AVIV - YAFO,1316,179298.8681,665330.2565
