X,Y,Section-ID,Point_number,type,id,origin,dest,TAZV41,SEMEL,CITY_NAME
175964.8238,659586.5544,5940,2,Residential,5940,96089,96102,2902,6200,BAT YAM
183533.3111,662910.0771,4562,43,Residential,4562,304470,304461,2442,8600,RAMAT GAN
174930.4321,656038.247,13950549,29,Residential,13950549,13950548,13950548,5312,8300,RISHON LEZIYYON
181873.7671,666081.1278,4396,1,Secondary,4396,306107,306095,2415,8600,RAMAT GAN
178910.2321,663787.9678,1843,2,Residential,1843,88911,88906,1509,5000,TEL AVIV - YAFO
186784.7659,649095.584,12000778,2,Secondary,12000778,12000775,12000775,5203,8500,RAMLA
183932.9904,650874.5797,6845,9,Residential,6845,334963,331661,5361,8300,RISHON LEZIYYON
195374.8677,651089.7088,17454995,5,Motorway,17454995,17454996,17455067,7503,10025,-
179527.3821,657713.6129,414022,6,Secondary,414022,414021,414021,2844,6600,HOLON
177999.2857,662218.4046,2525,14,Primary,2525,90729,91300,1712,5000,TEL AVIV - YAFO
185995.2462,674409.86,315664,1,Secondary,315664,307805,307805,2033,6400,HERZLIYYA
